frame_number,filename,timestamp_sec,predicted_emotion,confidence,prob_Angry,prob_Disgusted,prob_Fearful,prob_Happy,prob_Neutral,prob_Sad,prob_Surprised
150,0151.jpg,30.0,Angry,0.1640311,0.1640311,0.16265991,0.13761823,0.13555098,0.13839106,0.13762164,0.124127164
151,0152.jpg,30.2,Disgusted,0.16357823,0.16302587,0.16357823,0.13646512,0.13537367,0.13828652,0.1388148,0.12445579
152,0153.jpg,30.4,Disgusted,0.16488852,0.16079304,0.16488852,0.14412928,0.14061287,0.13434847,0.12934937,0.12587854
153,0154.jpg,30.6,Disgusted,0.16611312,0.16138674,0.16611312,0.14377983,0.14098124,0.1338851,0.12914076,0.12471316
154,0155.jpg,30.8,Disgusted,0.16388275,0.16219443,0.16388275,0.14246872,0.13889116,0.13430469,0.13389754,0.12436074
155,0156.jpg,31.0,Angry,0.16516814,0.16516814,0.16299252,0.1399814,0.13842821,0.13452101,0.13491745,0.123991355
156,0157.jpg,31.2,Angry,0.16610566,0.16610566,0.16589472,0.13996927,0.13183849,0.13644159,0.13656355,0.12318669
157,0158.jpg,31.4,Angry,0.16622059,0.16622059,0.16326262,0.13875534,0.13117401,0.137735,0.13998352,0.12286902
158,0159.jpg,31.6,Angry,0.16520971,0.16520971,0.16358082,0.13822833,0.13243033,0.13743366,0.14046592,0.12265124
159,0160.jpg,31.8,Angry,0.16460931,0.16460931,0.16352314,0.13824612,0.13341527,0.13757882,0.14005807,0.12256923
160,0161.jpg,32.0,Disgusted,0.16574387,0.16466929,0.16574387,0.13748525,0.13431594,0.13591464,0.13869114,0.123179816
161,0162.jpg,32.2,Angry,0.16601944,0.16601944,0.16588584,0.13835704,0.13339506,0.13565922,0.13685827,0.123825036
162,0163.jpg,32.4,Angry,0.16665632,0.16665632,0.16569617,0.13761897,0.1331825,0.13641609,0.13708307,0.1233469
163,0164.jpg,32.6,Disgusted,0.16713269,0.16694945,0.16713269,0.13917768,0.13428687,0.13469152,0.13483079,0.12293096
164,0165.jpg,32.8,Angry,0.16769844,0.16769844,0.16676481,0.13890705,0.13501598,0.13306308,0.13534391,0.12320678
165,0166.jpg,33.0,Angry,0.16939667,0.16939667,0.1674133,0.13675523,0.1330976,0.13151161,0.13935804,0.12246748
166,0167.jpg,33.2,Angry,0.1665107,0.1665107,0.1643509,0.13529925,0.13293263,0.1316575,0.14568505,0.12356394
167,0168.jpg,33.4,Angry,0.1677964,0.1677964,0.16121957,0.13422571,0.13133751,0.13495816,0.15013115,0.120331556
168,0169.jpg,33.6,Angry,0.16881296,0.16881296,0.16202506,0.13440043,0.1316076,0.13471368,0.14823455,0.12020568
169,0170.jpg,33.8,Angry,0.16853243,0.16853243,0.16406843,0.13536322,0.13055615,0.1353448,0.14477833,0.12135662
170,0171.jpg,34.0,Angry,0.16864331,0.16864331,0.16310422,0.13717529,0.13226461,0.13398841,0.14326482,0.12155938
171,0172.jpg,34.2,Angry,0.16759063,0.16759063,0.16308379,0.13927321,0.13371141,0.13467228,0.13921008,0.12245864
172,0173.jpg,34.4,Disgusted,0.16660275,0.16628236,0.16660275,0.13911934,0.1370467,0.13221024,0.13646235,0.12227632
173,0174.jpg,34.6,Disgusted,0.1660301,0.16433008,0.1660301,0.13859707,0.14287421,0.13080971,0.13276033,0.124598496
